,team_id,name,rating,wins,losses,last_match_time,tag,name2
1059824,1059824,Dream time.,1193.07,39,46,1403194810,DT,_
2640099,2640099,Shazam~,1192.2,57,51,1464749731,Shazam,_
1866993,1866993,T.O.T,1191.6,38,35,1422443104,SPG.NT,_
134900,134900,iCCup Team,1190.93,36,34,1375638430,iCCup,_
6214973,6214973,Ninjas in Pyjamas,1190.51,185,167,1586426735,NiP,_
20,20,Newbee.mgb,1190.37,90,131,1552055494,_,_
1370482,1370482,Doggy Team,1189.71,33,25,1442451852,DOG,_
1271771,1271771,Zero Latitude,1189.57,52,57,1486128827,ZL,_
5725202,5725202,Wind and Rain,1187.79,21,13,1531254227,WaR,_
5992560,5992560,Infamous Young,1187.65,24,20,1585793050,Infamous Y,_
1194815,1194815,Dwayne 'The John' Rockson,1186.81,15,2,1408827736,THE ROCK,_
2642171,2642171,Team AD FINEM,1186.71,85,92,1575137512,AF,_
6391499,6391499,ReckoninG eSports ,1185.39,58,30,1566150730,R|G,_
5805234,5805234,You Know Who,1184.35,84,62,1586425994,YKW,_
6409189,6409189,Team Empire Hope,1182.97,102,80,1586363919,EmpireH,_
6019885,6019885,Godlike E-Sports,1182.92,28,10,1573814224,GODLIKE,_
4010914,4010914,Pariente Gaming ,1182.59,13,1,1499392201,PG,_
2108395,2108395,TNC Predator,1181.48,461,316,1581653099,TNC,_
2085365,2085365,-Ninjas-in-Pyjamas-,1181.13,148,148,1446833808,NiP,_
2780911,2780911,Eagles GIGABYTE,1181.1,21,3,1495722587,Eagles,_
7553952,7553952,Chicken Fighters !,1179.19,53,28,1586426735,ChFight!,_
3715574,3715574,SG e-sports team,1179.1,149,112,1529795935,SG,_
3331948,3331948,LGD.Forever Young,1178.79,258,203,1529567163,LFY,_
1951061,1951061,Newbee.Young,1178.07,318,277,1555659408,Newbee.Y,_
990533,990533,MeeT YouR Mak3rS,1177.96,15,1,1472400222,mYm,_
2555665,2555665,Archon Dota,1177.54,15,7,1450134920,Archon,_
3722485,3722485,B)ears,1177.53,18,10,1489425372,B),_
7121264,7121264,PANDA GAMING,1176.78,14,1,1562491789,PG,_
626763,626763,AllianceGG,1176.25,13,3,1370974522,[A],_
2552118,2552118,FTD club a,1176.13,18,7,1479719778,FTD.a,_
3317512,3317512,DUOBAO Young,1175.81,22,6,1484377661,DUOBAO.Y,_
7422789,7422789,HellRaisers,1174.73,74,69,1586344004,HR,_
