,team_id,win,losses,name,tag,last_match_time,rating,TS_rating,capitan,player_1,player_2,player_3,player_4,player_5
66,66,2,6,eClub[MUFC],[MUFC],1344173160,943.0296158107643,"trueskill.Rating(mu=1068.294, sigma=14.049)",0,89251386,91143798,89268488,106894078,89249333
7,7,302,242,DK,DK,1448787921,1102.6955867351887,"trueskill.Rating(mu=1082.640, sigma=0.834)",160678812,160678812,230617400,129958758,207829314,114031486
5,5,1067,709,INVICTUS GAMING,IG,1587297705,1406.5066290869113,"trueskill.Rating(mu=1089.925, sigma=0.803)",101259972,138857296,168028715,139876032,364481959,101259972
57,57,1,2,uebelst gamynG,uebelstG,1342991112,982.7513277605084,"trueskill.Rating(mu=1020.560, sigma=30.140)",0,82262664,24106261,31078647,86750146,37105332
67,67,322,289,paiN Gaming,paiN,1582505594,1155.339592057931,"trueskill.Rating(mu=1085.086, sigma=0.862)",84853828,84853828,234237646,16317795,88611330,88153289
79,79,3,2,Infused,Infused,1344101898,1021.4175539590804,"trueskill.Rating(mu=1083.460, sigma=13.904)",0,32995405,34128052,3916428,106781506,29904110
50,50,0,1,joinDOTA Test,jD,1344096035,987.5366009492653,"trueskill.Rating(mu=964.648, sigma=76.307)",0,85375207,86737705,33366656,89686299,86011339
127,127,0,1,Darer.,Darer.,1347898957,982.6327810321322,"trueskill.Rating(mu=954.274, sigma=72.010)",0,91364912,92508984,59629938,79764459,102389294
125,125,1,4,The Retry,TR,1348679370,957.2637196499513,"trueskill.Rating(mu=980.037, sigma=47.797)",0,87565571,86736739,86933772,91980656,86808334
132,132,13,12,MoscowFIve,M5.BenQ,1351545203,969.8902795337024,"trueskill.Rating(mu=1079.538, sigma=2.266)",0,91646642,86716947,53178236,93614932,89782335
111,111,14,11,Skanes Elit,Skane,1350582272,1035.0727763469688,"trueskill.Rating(mu=1082.654, sigma=2.443)",0,34128052,32995405,34930858,40602549,88522876
137,137,2,2,AbsoluteLegends,aL.,1348688629,1002.616493303556,"trueskill.Rating(mu=1047.444, sigma=21.636)",0,87586992,85375207,87219396,39226957,85783343
140,140,2,5,Kharkiv Team,KH,1349207336,961.556121339373,"trueskill.Rating(mu=1075.633, sigma=7.280)",0,86802844,91064780,93655625,90404972,15263119
142,142,178,141,Team Dignitas,dignitas,1422923430,1063.4521414279318,"trueskill.Rating(mu=1083.046, sigma=0.896)",6763095,6763095,84176344,22887230,29904110,1185644
159,159,11,28,Meet Your Makers,MYM,1354637900,845.2089122571623,"trueskill.Rating(mu=1077.266, sigma=1.758)",0,20237599,26682464,16769223,26863344,7185015
162,162,53,67,FlipSid3 Tactics,FlipSid3,1394994810,1054.652467135078,"trueskill.Rating(mu=1079.805, sigma=1.038)",0,86793739,57858596,53151216,86736329,91450612
59,59,176,139,Kaipi,KP,1548954801,1084.8460436216394,"trueskill.Rating(mu=1084.511, sigma=0.874)",92028391,92028391,71869498,122049498,141690233,88719902
141,141,1,1,GAMERS LEAGUE !,TEAM GL,1349288046,991.2068084598114,"trueskill.Rating(mu=1072.192, sigma=28.700)",0,86732705,44197908,53151216,24960379,91988610
23438,23438,0,2,Darer-BG,Darer,1349731269,969.5558013534918,"trueskill.Rating(mu=959.520, sigma=73.332)",0,92508984,91364912,59629938,92086189,102389294
60793,60793,1,5,Darer.bg,Darer,1351358604,931.4904732883683,"trueskill.Rating(mu=1043.061, sigma=7.227)",0,92508984,49710061,66228684,86040272,102389294
94252,94252,24,18,The GD B-Team,[GD],1353432421,1071.8703236591236,"trueskill.Rating(mu=1083.240, sigma=1.508)",0,82262664,86799300,21289303,37105332,31078647
95805,95805,12,36,Pulse,Pulse,1355861343,851.5145464100328,"trueskill.Rating(mu=1078.071, sigma=1.496)",0,34930858,85849820,71859935,92623017,9991009
17330,17330,1,0,Ownedby.pro Female,ob,1350757959,1016.0,"trueskill.Rating(mu=1056.370, sigma=82.598)",0,86764435,48065861,87581640,97163537,86870827
133,133,0,1,Virtus.Pro Ladies,VP.Fem,1350757959,984.0,"trueskill.Rating(mu=943.630, sigma=82.598)",0,88984735,30356320,87748419,92465995,93704000
119,119,13,12,e-Club[MUFC],MUFC.,1357145985,1041.7522300427818,"trueskill.Rating(mu=1080.779, sigma=2.098)",0,89249333,89268488,82630959,89251386,93616251
138,138,6,6,Natural 9,N9,1359138758,1025.4512534275386,"trueskill.Rating(mu=1075.770, sigma=5.630)",0,86802544,40602425,34726076,34547465,121649984
87891,87891,2,5,Fumoffu's Throws Fan Club!,FTFC,1351601191,987.6395954021764,"trueskill.Rating(mu=1076.057, sigma=5.819)",0,67098758,99555174,89841468,87012746,90092449
139,139,3,7,Flash E-sports,Flash,1352121095,962.3697494017473,"trueskill.Rating(mu=1078.549, sigma=4.501)",0,89654154,87116468,84467606,89583553,89868660
111474,111474,1013,740,Alliance,Alliance,1587134297,1266.1813562768396,"trueskill.Rating(mu=1089.473, sigma=0.806)",41231571,41231571,12231202,412753955,10366616,18180970
138846,138846,6,12,XX5,XX5,1358527283,943.5237231292148,"trueskill.Rating(mu=1066.340, sigma=6.194)",0,87565571,89782335,86716947,93614932,88655279
142087,142087,8,17,Lions Pride,eL'Pride,1363108920,936.403764851168,"trueskill.Rating(mu=1072.777, sigma=3.423)",0,91944941,96191708,68308368,114432798,86685819
142823,142823,5,12,Team iLuminate,iLum,1355591436,953.3105975610092,"trueskill.Rating(mu=1074.631, sigma=3.853)",0,86747846,93655625,98134803,90423751,86802844
146385,146385,21,41,3DMAX,3DMAX,1368283261,931.5617892186708,"trueskill.Rating(mu=1079.533, sigma=1.338)",0,86747351,115328322,43619695,23883296,86828792
127593,127593,6,4,Orange Esports,Orange,1356243892,1056.8643163794175,"trueskill.Rating(mu=1087.963, sigma=4.962)",0,89330493,94362277,92535195,93670407,91644707
152,152,0,3,evo,evo^,1354122967,950.2671129115621,"trueskill.Rating(mu=920.233, sigma=61.515)",0,77287764,33989295,66713193,113544722,28335287
146601,146601,1,3,Out of Tangos,OoT,1361816391,982.0009816396592,"trueskill.Rating(mu=959.209, sigma=51.511)",0,81150290,86664345,86714699,5246156,70807240
17780,17780,0,3,Rigg3D,r3D,1353621732,957.7514127725577,"trueskill.Rating(mu=876.210, sigma=54.334)",0,24009418,81920559,89201164,10035422,27058848
8694,8694,0,3,Sweet 'N China,SnC,1353673411,957.2428656432536,"trueskill.Rating(mu=922.408, sigma=57.393)",0,78546372,18796045,83993315,18395705,38669700
161707,161707,24,20,mouz,mouz,1360615807,1112.8880359292657,"trueskill.Rating(mu=1084.302, sigma=1.506)",0,82262664,86799300,31078647,37105332,21289303
126781,126781,0,1,shiba.gaming,shiba,1354213241,983.1828872872533,"trueskill.Rating(mu=930.114, sigma=71.948)",0,26863344,29337472,16769223,74432222,7185015
173458,173458,11,12,Svenhunterz,SHZ,1358279090,1004.9959325508627,"trueskill.Rating(mu=1083.271, sigma=2.475)",0,44197908,39653422,77287764,86736329,33989295
184240,184240,13,22,DD,DD,1360090718,1030.406573777516,"trueskill.Rating(mu=1081.396, sigma=1.915)",0,88271237,16769223,20237599,29337472,25907144
184145,184145,4,6,Turtle masters .-.',Turtle,1359318970,987.0020612791786,"trueskill.Rating(mu=1075.789, sigma=4.790)",0,3916428,106781506,119464562,65782028,25175582
35460,35460,1,0,Artyk Gaming,Artyk,1354827960,1010.7354850762633,"trueskill.Rating(mu=1132.535, sigma=48.387)",0,86761836,86721619,94923783,104629030,86724433
166881,166881,0,1,Bitches Love Cake,BLC,1355082348,985.9442559757256,"trueskill.Rating(mu=964.266, sigma=76.090)",0,74155633,11603325,20652618,86736858,29574284
186013,186013,3,4,Nex Impetus,neX-I,1358702043,989.7595569232992,"trueskill.Rating(mu=1077.816, sigma=6.172)",0,100358302,82916485,86721989,86036095,36927758
2163,2163,906,562,Team Liquid,Liquid,1587065358,1220.2219005931336,"trueskill.Rating(mu=1089.071, sigma=0.799)",54580962,54580962,86738694,152962063,77490514,401792574
36008,36008,6,5,ROOT Gaming,ROOT,1367194570,1034.778865601874,"trueskill.Rating(mu=1070.115, sigma=23.127)",0,86811043,86747351,58380135,26852332,129444623
192316,192316,4,7,Wzriv Poket,WP,1355668685,996.3569951010713,"trueskill.Rating(mu=1069.759, sigma=7.118)",0,96196828,86725175,91064780,87918301,76600360
185500,185500,3,3,SLARK S DAGONOM,SLARK,1421872682,1000.8372514458493,"trueskill.Rating(mu=1044.397, sigma=25.176)",116655004,118951956,91126131,116655004,40818408,80054644
103449,103449,2,3,Netolic,NTL,1355490684,1001.2840291361254,"trueskill.Rating(mu=1102.658, sigma=17.276)",0,89782335,86716947,86685785,115326880,36547811
9962,9962,1,2,eyeless,eyeless,1355405983,991.992454389053,"trueskill.Rating(mu=972.629, sigma=48.243)",0,92187265,68440189,48739453,88163973,86335423
194194,194194,2,4,Huskar Masters,HM,1355505535,977.2377209509436,"trueskill.Rating(mu=950.232, sigma=39.724)",0,94210658,87095213,94176961,58486857,37570252
14376,14376,0,6,Shadow team leagues.,RoX.KiS,1355505535,916.1811640151732,"trueskill.Rating(mu=867.760, sigma=41.565)",0,99060154,87134758,100646281,117413914,95319591
124980,124980,2,2,Dont Waste Time,DWT,1355503845,1007.0863198542328,"trueskill.Rating(mu=1005.247, sigma=47.469)",0,98552543,114115258,92695173,114079039,86761081
134900,134900,36,35,iCCup Team,iCCup,1375638430,1167.9414746710836,"trueskill.Rating(mu=1083.150, sigma=1.162)",0,86725175,113316122,91064780,86802844,90229954
173265,173265,0,6,QWERT123456,QWERT,1358624528,928.052242003064,"trueskill.Rating(mu=913.599, sigma=63.886)",0,6074291,31874840,71484824,23796728,22671527
197458,197458,0,1,slark s dagon0m,ssd,1355484552,993.4420582733644,"trueskill.Rating(mu=965.998, sigma=76.882)",0,117949179,86817189,112623118,106259323,117151427
109099,109099,2,3,FnaticRC.North America,FnaticRC,1358706408,985.5181521764847,"trueskill.Rating(mu=1056.531, sigma=17.715)",0,21604967,8591574,83724325,45842898,10366616
23284,23284,4,7,BGENetwork,BGE,1359662383,981.3693661682968,"trueskill.Rating(mu=1078.645, sigma=4.199)",0,86761836,118073569,86785102,94923783,86724433
177152,177152,2,5,HWA.Kingston,HWA,1366993785,965.0031583807739,"trueskill.Rating(mu=1069.767, sigma=8.326)",0,91457865,92000166,97676580,44197689,86827291
41995,41995,35,33,Svaha,Svaha,1425899749,1000.1709338039917,"trueskill.Rating(mu=1052.337, sigma=2.545)",92590269,107897138,92590269,145609278,89438610,88971114
152626,152626,1,1,Cyber Pink,1st.VN,1356157213,1000.0,"trueskill.Rating(mu=1009.828, sigma=68.237)",0,16684211,103764401,94736430,103639844,103940925
208842,208842,3,1,Invasion`Natural 9,iNv`N9,1356176632,1030.852379039816,"trueskill.Rating(mu=1059.598, sigma=21.736)",0,86762037,86802544,34726076,34547465,96708830
64325,64325,6,25,RevivaL.bn,RevivaL,1551608352,878.1129283123292,"trueskill.Rating(mu=1051.077, sigma=6.571)",106640387,106640387,100503754,133122519,100676729,170558809
12095,12095,0,3,Joe Net Surabaya,Joe.Net,1356170832,957.546245118074,"trueskill.Rating(mu=939.674, sigma=58.582)",0,86794404,86772728,91143798,80576254,101672784
76605,76605,2,2,HayGaming,HG,1356222921,1002.7857254858096,"trueskill.Rating(mu=1066.920, sigma=12.653)",0,91443418,86772934,91162296,115102590,92704330
81012,81012,14,19,For Love.,FL,1385988324,1023.498210384163,"trueskill.Rating(mu=1078.523, sigma=3.009)",0,103089999,109758944,102024536,89166519,112940846
77666,77666,62,69,LGD-GAMING.int,LGD.int,1387621470,1113.1926642738301,"trueskill.Rating(mu=1083.407, sigma=0.922)",0,21289303,113055496,82630959,31818853,103039499
145085,145085,1,0,Romy And The Rest,RATR,1356801354,1021.8057207266464,"trueskill.Rating(mu=1139.201, sigma=47.155)",0,18711079,293763,91369682,86714306,86739706
215271,215271,7,10,When in Mood,WiM,1410124248,976.672765481688,"trueskill.Rating(mu=1076.757, sigma=3.329)",20771881,20771881,32032994,89201164,63234948,86736858
105374,105374,22,20,ViCi Gaming__,VG,1369839635,1054.5954866389689,"trueskill.Rating(mu=1083.826, sigma=1.724)",0,108376607,113705693,101695162,111533846,113800818
231312,231312,3,6,Absolute Legends Academy,aL,1359573357,960.8753147040458,"trueskill.Rating(mu=1073.722, sigma=4.368)",0,18711079,293763,11603325,86714306,86739706
61540,61540,9,12,Sigma.fr,Sigma.fr,1383151353,1006.8861362934047,"trueskill.Rating(mu=1057.320, sigma=7.325)",0,31160943,29522246,49418289,33181763,17884999
257130,257130,1,0,Ice Climbers,IC,1358454417,1016.0,"trueskill.Rating(mu=1056.370, sigma=82.598)",0,86685785,83873661,93898383,93736444,91701543
261415,261415,1,2,youBoat,yB,1359130773,984.1950204066701,"trueskill.Rating(mu=1062.212, sigma=14.702)",0,71983243,113578498,88502795,33541191,34930858
256684,256684,4,1,Chlamydia psittaci,CP,1358534546,1041.2308228684738,"trueskill.Rating(mu=1108.503, sigma=23.651)",0,96196828,53178236,91646642,87918301,76600360
234173,234173,0,2,SEX.>,SEX,1358534546,970.4938137493941,"trueskill.Rating(mu=963.809, sigma=73.183)",0,38257256,97358331,91980656,36547811,59837697
274272,274272,3,2,GrandFatherS,GRNDFTHS,1359135189,1004.7986341108397,"trueskill.Rating(mu=1027.586, sigma=23.667)",0,87565571,122019594,91513280,85815961,42939180
277794,277794,0,1,GT-M,GT-M,1359052804,985.2181125647554,"trueskill.Rating(mu=983.613, sigma=87.645)",0,36649743,15263119,91064780,86725175,86802844
254140,254140,158,177,First Departure,FD,1474806888,956.3180753572583,"trueskill.Rating(mu=1079.009, sigma=0.841)",82630959,82630959,75390186,76904792,86741690,89654154
264895,264895,4,3,FullTilt(ph),FullTilt,1359301079,1010.1709684714467,"trueskill.Rating(mu=1025.155, sigma=29.510)",0,91716290,102801608,102530821,100440341,92148571
31440,31440,4,5,DreamzLedionSteelseries,DrmzLDSS,1359991722,990.5640026468207,"trueskill.Rating(mu=1050.995, sigma=19.387)",0,96309508,93388631,91671525,93368737,91114169
32150,32150,25,28,G.se7en,Gse7en,1459253324,1039.5042718981083,"trueskill.Rating(mu=1072.847, sigma=1.995)",104464707,104464707,124169562,104504914,111555756,111503721
11359,11359,1,1,TRG^Mafia,TRG,1359277497,1000.0,"trueskill.Rating(mu=990.172, sigma=68.237)",0,86760269,92748385,121313941,83775072,92421842
38049,38049,4,6,MalayAllStar,M.A.S,1372868149,966.2091542601248,"trueskill.Rating(mu=1030.385, sigma=16.596)",0,86741304,92551671,92279671,93072082,98945394
253949,253949,0,2,GANGSTER,GANGSTER,1359285064,970.2042599534593,"trueskill.Rating(mu=934.500, sigma=70.160)",0,118039482,92394495,96609329,90141386,101697733
280150,280150,0,1,Neolution Academy',Neo.Ac,1359275919,983.2636932064779,"trueskill.Rating(mu=915.795, sigma=75.666)",0,101179366,101198278,103184246,101916259,115651804
293318,293318,0,9,Re-defining Madness,???,1361302319,923.0826279426473,"trueskill.Rating(mu=942.278, sigma=52.821)",0,4281729,86767617,98151311,9230085,102336540
82439,82439,6,2,Neolution e-Sports,NeoEs,1360153151,1057.052500608651,"trueskill.Rating(mu=1113.802, sigma=37.904)",0,98227534,86727049,100829013,106443009,102633185
287966,287966,0,2,Team FI5T [Thu-do BET],FI5T,1359880865,967.3312356809844,"trueskill.Rating(mu=888.390, sigma=65.617)",0,101924955,87458141,102719221,107706891,101155615
152339,152339,1,2,Neolution e-Sports PH,Pcfc^NEO,1359890909,984.12784310364,"trueskill.Rating(mu=954.185, sigma=53.370)",0,93844428,105876113,102756555,104886573,111069223
233566,233566,3,3,QlimaxCrew,QMX,1359906386,1000.7748194474384,"trueskill.Rating(mu=1012.493, sigma=33.321)",0,94531730,86792921,104474669,87442297,101038928
202286,202286,0,2,Sino.Wander,Wander,1359885168,968.7023986633528,"trueskill.Rating(mu=906.756, sigma=67.675)",0,94121743,101636254,59273184,101057882,44632171
151368,151368,30,44,Awake,Awake,1426168194,1023.747849740104,"trueskill.Rating(mu=1074.364, sigma=1.393)",101325470,81481903,102085684,91753698,106443009,101325470
6684,6684,10,7,GizMo Gaming,GizMo,1372947965,1040.0597848659438,"trueskill.Rating(mu=1075.413, sigma=13.014)",0,93147170,92286601,86908878,101805635,86780673
88059,88059,0,1,GAY!TEAM,GAY!TEAM,1359978401,986.8189713400667,"trueskill.Rating(mu=983.359, sigma=88.311)",0,103134491,103940925,100707697,103733631,103764401
248456,248456,193,177,Invasion eSports,Invasion,1432989924,958.7134343199132,"trueskill.Rating(mu=1080.414, sigma=0.839)",29110522,29110522,89330493,89972122,34547465,118015313
252536,252536,3,2,1st.VN|CyberPink,1st.VN,1363507897,1016.7655011752768,"trueskill.Rating(mu=1006.627, sigma=44.362)",0,104044568,103134491,86756777,103639844,101416979
80,80,2,6,Mineski HyperX,Mineski,1365593884,952.5214999954517,"trueskill.Rating(mu=1079.888, sigma=17.658)",0,95566398,101787866,102096245,96307331,103412641
190118,190118,0,2,Bien Hoa Assasin,BHA,1360067500,968.7873401703087,"trueskill.Rating(mu=908.728, sigma=61.077)",0,101423989,101416979,86756777,115863925,96760257
265004,265004,1,2,Pacific eSports,Pacific,1360071580,984.7875198565154,"trueskill.Rating(mu=968.178, sigma=51.336)",0,110713484,114980990,102087153,102642689,111161098
234666,234666,11,9,Neolution E-Sport International,Neo.Int,1373378159,1015.0469350856756,"trueskill.Rating(mu=1079.409, sigma=3.741)",0,91946343,104406836,92919767,108078380,706990
188063,188063,0,1,RitteR-Moest,Moest,1360064163,986.8160958396757,"trueskill.Rating(mu=981.281, sigma=87.448)",0,98081526,93304209,108491435,96808109,90547237
